Verb,Translation,Presente (Spanish),Presente (English),Pretérito (Spanish),Pretérito (English),Futuro (Spanish),Futuro (English)
Creer,to believe,"creo,crees,cree,creemos,creéis,creen","I believe,You (informal) believe,He/She believes,We believe,You all (informal) believe,They/You all believe","creí,creíste,creyó,creímos,creísteis,creyeron","I believed,You (informal) believed,He/She believed,We believed,You all (informal) believed,They/You all believed","creeré,creerás,creerá,creeremos,creeréis,creerán","I will believe,You (informal) will believe,He/She will believe,We will believe,You all (informal) will believe,They/You all will believe"
Deber,to should,"debo,debes,debe,debemos,debéis,deben","I should,You (informal) should,He/She should,We should,You all (informal) should,They/You all should","debí,debiste,debió,debimos,debisteis,debieron","I should have,You (informal) should have,He/She should have,We should have,You all (informal) should have,They/You all should have","deberé,deberás,deberá,deberemos,deberéis,deberán","I will should,You (informal) will should,He/She will should,We will should,You all (informal) will should,They/You all will should"
Esconder,to hide,"escondo,escondes,esconde,escondemos,escondéis,esconden","I hide,You (informal) hide,He/She hides,We hide,You all (informal) hide,They/You all hide","escondí,escondiste,escondió,escondimos,escondisteis,escondieron","I hid,You (informal) hid,He/She hid,We hid,You all (informal) hid,They/You all hid","esconderé,esconderás,esconderá,esconderemos,esconderéis,esconderán","I will hide,You (informal) will hide,He/She will hide,We will hide,You all (informal) will hide,They/You all will hide"
Leer,to read,"leo,lees,lee,leemos,leéis,leen","I read,You (informal) read,He/She reads,We read,You all (informal) read,They/You all read","leí,leíste,leyó,leímos,leísteis,leyeron","I read (past),You (informal) read,He/She read,We read,You all (informal) read,They/You all read","leeré,leerás,leerá,leeremos,leeréis,leerán","I will read,You (informal) will read,He/She will read,We will read,You all (informal) will read,They/You all will read"
Meter,to put in,"meto,metes,mete,metemos,metéis,meten","I put in,You (informal) put in,He/She puts in,We put in,You all (informal) put in,They/You all put in","metí,metiste,metió,metimos,metisteis,metieron","I put in (past),You (informal) put in,He/She put in,We put in,You all (informal) put in,They/You all put in","meteré,meterás,meterá,meteremos,meteréis,meterán","I will put in,You (informal) will put in,He/She will put in,We will put in,You all (informal) will put in,They/You all will put in"
Prender,to turn on,"prendo,prendes,prende,prendemos,prendéis,prenden","I turn on,You (informal) turn on,He/She turns on,We turn on,You all (informal) turn on,They/You all turn on","prendí,prendiste,prendió,prendimos,prendisteis,prendieron","I turned on,You (informal) turned on,He/She turned on,We turned on,You all (informal) turned on,They/You all turned on","prenderé,prenderás,prenderá,prenderemos,prenderéis,prenderán","I will turn on,You (informal) will turn on,He/She will turn on,We will turn on,You all (informal) will turn on,They/You all will turn on"
Prometer,to promise,"prometo,prometes,promete,prometemos,prometéis,prometen","I promise,You (informal) promise,He/She promises,We promise,You all (informal) promise,They/You all promise","prometí,prometiste,prometió,prometimos,prometisteis,prometieron","I promised,You (informal) promised,He/She promised,We promised,You all (informal) promised,They/You all promised","prometeré,prometerás,prometerá,prometeremos,prometeréis,prometerán","I will promise,You (informal) will promise,He/She will promise,We will promise,You all (informal) will promise,They/You all will promise"
Responder,to answer,"respondo,respondes,responde,respondemos,respondéis,responden","I answer,You (informal) answer,He/She answers,We answer,You all (informal) answer,They/You all answer","respondí,respondiste,respondió,respondimos,respondisteis,respondieron","I answered,You (informal) answered,He/She answered,We answered,You all (informal) answered,They/You all answered","responderé,responderás,responderá,responderemos,responderéis,responderán","I will answer,You (informal) will answer,He/She will answer,We will answer,You all (informal) will answer,They/You all will answer"
Romper,to break,"rompo,rompes,rompe,rompemos,rompéis,rompen","I break,You (informal) break,He/She breaks,We break,You all (informal) break,They/You all break","rompí,rompiste,rompió,rompimos,rompisteis,rompieron","I broke,You (informal) broke,He/She broke,We broke,You all (informal) broke,They/You all broke","romperé,romperás,romperá,romperemos,romperéis,romperán","I will break,You (informal) will break,He/She will break,We will break,You all (informal) will break,They/You all will break"
Vender,to sell,"vendo,vendes,vende,vendemos,vendéis,venden","I sell,You (informal) sell,He/She sells,We sell,You all (informal) sell,They/You all sell","vendí,vendiste,vendió,vendimos,vendisteis,vendieron","I sold,You (informal) sold,He/She sold,We sold,You all (informal) sold,They/You all sold","venderé,venderás,venderá,venderemos,venderéis,venderán","I will sell,You (informal) will sell,He/She will sell,We will sell,You all (informal) will sell,They/You all will sell"
Abrir,to open,"abro,abres,abre,abrimos,abrís,abren","I open,You (informal) open,He/She opens,We open,You all (informal) open,They/You all open","abrí,abriste,abrió,abrimos,abrieron,abristeis","I opened,You (informal) opened,He/She opened,We opened,You all (informal) opened,They/You all opened","abriré,abrirás,abrirá,abriremos,abriréis,abrirán","I will open,You (informal) will open,He/She will open,We will open,You all (informal) will open,They/You all will open"
Añadir,to add,"añado,añades,añade,añadimos,añadís,añaden","I add,You (informal) add,He/She adds,We add,You all (informal) add,They/You all add","añadí,añadiste,añadió,añadimos,añadisteis,añadieron","I added,You (informal) added,He/She added,We added,You all (informal) added,They/You all added","añadiré,añadirás,añadirá,añadiremos,añadiréis,añadirán","I will add,You (informal) will add,He/She will add,We will add,You all (informal) will add,They/You all will add"
Aplaudir,to clap,"aplaudo,aplaudes,aplaude,aplaudimos,aplaudís,aplauden","I clap,You (informal) clap,He/She claps,We clap,You all (informal) clap,They/You all clap","aplaudí,aplaudiste,aplaudió,aplaudimos,aplaudisteis,aplaudieron","I clapped,You (informal) clapped,He/She clapped,We clapped,You all (informal) clapped,They/You all clapped","aplaudiré,aplaudirás,aplaudirá,aplaudiremos,aplaudiréis,aplaudirán","I will clap,You (informal) will clap,He/She will clap,We will clap,You all (informal) will clap,They/You all will clap"
Compartir,to share,"comparto,compartes,comparte,compartimos,compartís,comparten","I share,You (informal) share,He/She shares,We share,You all (informal) share,They/You all share","compartí,compartiste,compartió,compartimos,compartisteis,compartieron","I shared,You (informal) shared,He/She shared,We shared,You all (informal) shared,They/You all shared","compartiré,compartirás,compartirá,compartiremos,compartiréis,compartirán","I will share,You (informal) will share,He/She will share,We will share,You all (informal) will share,They/You all will share"
Decidir,to decide,"decido,decides,decide,decidimos,decidís,deciden","I decide,You (informal) decide,He/She decides,We decide,You all (informal) decide,They/You all decide","decidí,decidiste,decidió,decidimos,decidisteis,decidieron","I decided,You (informal) decided,He/She decided,We decided,You all (informal) decided,They/You all decided","decidiré,decidirás,decidirá,decidiremos,decidiréis,decidirán","I will decide,You (informal) will decide,He/She will decide,We will decide,You all (informal) will decide,They/You all will decide"
Describir,to describe,"describo,describes,describe,describimos,describís,describen","I describe,You (informal) describe,He/She describes,We describe,You all (informal) describe,They/You all describe","describí,describiste,describió,describimos,describisteis,describieron","I described,You (informal) described,He/She described,We described,You all (informal) described,They/You all described","describiré,describirás,describirá,describiremos,describiréis,describirán","I will describe,You (informal) will describe,He/She will describe,We will describe,You all (informal) will describe,They/You all will describe"
Descubrir,to discover,"descubro,descubres,descubre,descubrimos,descubrís,descubren","I discover,You (informal) discover,He/She discovers,We discover,You all (informal) discover,They/You all discover","descubrí,descubriste,descubrió,descubrimos,descubristeis,descubrieron","I discovered,You (informal) discovered,He/She discovered,We discovered,You all (informal) discovered,They/You all discovered","descubriré,descubrirás,descubrirá,descubriremos,descubriréis,descubrirán","I will discover,You (informal) will discover,He/She will discover,We will discover,You all (informal) will discover,They/You all will discover"
Discutir,to argue/to discuss,"discuto,discutes,discute,discutimos,discutís,discuten","I argue,You (informal) argue,He/She argues,We argue,You all (informal) argue,They/You all argue","discutí,discutiste,discutió,discutimos,discutisteis,discutieron","I argued,You (informal) argued,He/She argued,We argued,You all (informal) argued,They/You all argued","discutiré,discutirás,discutirá,discutiremos,discutiréis,discutirán","I will argue,You (informal) will argue,He/She will argue,We will argue,You all (informal) will argue,They/You all will argue"
Escribir,to write,"escribo,escribes,escribe,escribimos,escribís,escriben","I write,You (informal) write,He/She writes,We write,You all (informal) write,They/You all write","escribí,escribiste,escribió,escribimos,escribisteis,escribieron","I wrote,You (informal) wrote,He/She wrote,We wrote,You all (informal) wrote,They/You all wrote","escribiré,escribirás,escribirá,escribiremos,escribiréis,escribirán","I will write,You (informal) will write,He/She will write,We will write,You all (informal) will write,They/You all will write"
Interrumpir,to interrupt,"interrumpo,interrumpes,interrumpe,interrumpimos,interrumpís,interrumpen","I interrupt,You (informal) interrupt,He/She interrupts,We interrupt,You all (informal) interrupt,They/You all interrupt","interrumpí,interrumpiste,interrumpió,interrumpimos,interrumpisteis,interrumpieron","I interrupted,You (informal) interrupted,He/She interrupted,We interrupted,You all (informal) interrupted,They/You all interrupted","interrumpiré,interrumpirás,interrumpirá,interrumpiremos,interrumpiréis,interrumpirán","I will interrupt,You (informal) will interrupt,He/She will interrupt,We will interrupt,You all (informal) will interrupt,They/You all will interrupt"
Partir,to cut/to leave,"parto,partes,parte,partimos,partís,parten","I cut/leave,You (informal) cut/leave,He/She cuts/leaves,We cut/leave,You all (informal) cut/leave,They/You all cut/leave","partí,partiste,partió,partimos,partisteis,partieron","I cut/left,You (informal) cut/left,He/She cut/left,We cut/left,You all (informal) cut/left,They/You all cut/left","partiré,partirás,partirá,partiremos,partiréis,partirán","I will cut/leave,You (informal) will cut/leave,He/She will cut/leave,We will cut/leave,You all (informal) will cut/leave,They/You all will cut/leave"
Recibir,to receive,"recibo,recibes,recibe,recibimos,recibís,reciben","I receive,You (informal) receive,He/She receives,We receive,You all (informal) receive,They/You all receive","recibí,recibiste,recibió,recibimos,recibisteis,recibieron","I received,You (informal) received,He/She received,We received,You all (informal) received,They/You all received","recibiré,recibirás,recibirá,recibiremos,recibiréis,recibirán","I will receive,You (informal) will receive,He/She will receive,We will receive,You all (informal) will receive,They/You all will receive"
Subir,to go up,"subo,subes,sube,subimos,subís,suben","I go up,You (informal) go up,He/She goes up,We go up,You all (informal) go up,They/You all go up","subí,subiste,subió,subimos,subisteis,subieron","I went up,You (informal) went up,He/She went up,We went up,You all (informal) went up,They/You all went up","subiré,subirás,subirá,subiremos,subiréis,subirán","I will go up,You (informal) will go up,He/She will go up,We will go up,You all (informal) will go up,They/You all will go up"
Vivir,to live,"vivo,vives,vive,vivimos,vivís,viven","I live,You (informal) live,He/She lives,We live,You all (informal) live,They/You all live","viví,viviste,vivió,vivimos,vivisteis,vivieron","I lived,You (informal) lived,He/She lived,We lived,You all (informal) lived,They/You all lived","viviré,vivirás,vivirá,viviremos,viviréis,vivirán","I will live,You (informal) will live,He/She will live,We will live,You all (informal) will live,They/You all will live"
